amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.35,25.0,-13.35,19259,1.43,5,Very High,0.9453082575156095,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.0,0.675,1.0,0.5,0.9,83.37499999999999
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,1.45,19.0,-21.84,979,1.36,3,High,1.1801011976606492,0.2926358334175106,0.000549004250631712,-0.18188513572116294,0.825,0.9,0.95,0.65,0.625,82.25
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,1.23,25.0,-17.01,35124,1.52,4,Very High,0.9497958246616031,0.3005787817097677,0.011455159960520708,-0.31171900300634214,0.875,0.7,0.975,0.3625,0.925,77.9375
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,1.44,19.0,-13.67,23185,1.38,5,High,1.093698743534631,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,0.775,0.85,0.875,0.6,0.5,76.0
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.57,16.0,-19.5,35012,1.45,5,Moderately High,1.3067439695428409,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,0.75,0.975,0.9,0.475,0.325,75.25
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.18,19.0,-32.38,28996,1.38,5,High,0.9982309868636413,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,0.65,0.75,0.8,0.6,0.7,70.24999999999999
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.5,19.0,-26.99,37835,1.61,4,High,1.1321218524747243,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,0.8,0.875,0.825,0.075,0.55,69.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.66,14.0,-17.07,11361,1.46,5,Moderate,1.4482911703262598,0.2698375144191807,0.023683558075848623,-0.11265729075028275,0.6,1.0,0.85,0.45,0.2,68.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,1.27,14.0,-26.59,41553,0.8,3,Moderate,1.0265242847993001,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.525,0.775,0.7,0.725,0.3,63.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,1.03,17.0,-22.62,2989,1.6,5,High,1.2349300257743294,0.2827036785246582,0.018133884083859245,-0.1639674294693263,0.45,0.95,0.925,0.1125,0.525,62.68749999999999
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,1.68,14.0,-16.07,20909,1.51,4,Moderate,1.0816591793457042,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,0.5,0.825,0.75,0.4125,0.575,62.5625
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.67,25.0,-24.78,36061,0.72,4,Very High,-0.05718662582817995,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.975,0.225,0.125,0.8875,1.0,60.68749999999999
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,1.14,25.0,-30.87,43630,1.53,4,Very High,0.44843400890899127,0.1750072167561127,0.1034966369133759,-0.2334488614483311,0.9,0.375,0.575,0.3125,0.8,60.56250000000001
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,1.29,14.0,-21.7,14288,1.54,4,Moderate,1.2082665673727175,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,0.375,0.925,0.775,0.2625,0.425,58.06250000000001
